19,5,Valtteri Bottas,Mercedes,5
19,6,Nico Hulkenberg,Renault,7
19,7,Charles Leclerc,Sauber,9
19,8,Stoffel Vandoorne,McLaren,15
19,9,Marcus Ericsson,Sauber,10
19,10,Pierre Gasly,Toro Rosso,20
20,1,Lewis Hamilton,Mercedes,1
20,2,Max Verstappen,Red Bull,5
20,3,Kimi Raikkonen,Ferrari,4
20,4,Daniel Ricciardo,Red Bull,11
20,5,Valtteri Bottas,Mercedes,3
20,6,Sebastian Vettel,Ferrari,2
20,7,Charles Leclerc,Sauber,7
20,8,Romain Grosjean,Haas,8
20,9,Kevin Magnussen,Haas,10
20,10,Sergio Perez,RP Force India,12
21,1,Lewis Hamilton,Mercedes,1
21,2,Sebastian Vettel,Ferrari,3
21,3,Max Verstappen,Red Bull,6
21,4,Daniel Ricciardo,Red Bull,5
21,5,Valtteri Bottas,Mercedes,2
21,6,Carlos Sainz Jr.,Renault,11
21,7,Charles Leclerc,Sauber,8
21,8,Sergio Perez,RP Force India,14
21,9,Romain Grosjean,Haas,7
21,10,Kevin Magnussen,Haas,13
